gml_id|creationDa|namespace|lokaalID|relatieveH|LV-publica|inOnderzoe|tijdstipRe|bgt-status|bronhouder|kmlgeometry
A26147564D8E5222EE0532B0B5B0AACAA|2013-11-25|NL.IMGeo|G0505.047fc0f92629c003e0532b00500a66e1|-1|2015-11-27T14:06:50.000|0|2015-11-06T09:11:47.000|bestaand|G0505|POLYGON ((106806.43 422721.586,106798.807 422710.218,106796.246 422711.952,106803.72 422723.474,106806.43 422721.586))
A26147564D8E6222EE0532B0B5B0AACAA|2013-11-25|NL.IMGeo|G0505.047fc0f9262ac003e0532b00500a66e1|-1|2015-11-27T14:06:50.000|0|2015-11-06T09:11:47.000|bestaand|G0505|POLYGON ((106807.75 422720.666,106800.306 422709.204,106798.807 422710.218,106806.43 422721.586,106807.75 422720.666))
A26147564D8E7222EE0532B0B5B0AACAA|2014-04-15|NL.IMGeo|G0505.047fc0f9262dc003e0532b00500a66e1|-1|2015-11-27T14:06:50.000|0|2015-11-06T09:11:47.000|bestaand|G0505|POLYGON ((106038.707 422034.522,106038.504 422030.461,106038.215 422030.472,106035.886 422030.57,106033.387 422030.675,106032.391 422030.716,106030.85 422030.781,106027.887 422030.906,106022.815 422031.119,106017.821 422031.329,106014.317 422031.476,106011.838 422031.58,106009.755 422031.667,106009.436 422031.68,106009.618 422035.872,106009.936 422035.857,106012.029 422035.76,106014.507 422035.646,106018.014 422035.483,106023.0 422035.251,106028.066 422035.016,106031.029 422034.879,106032.568 422034.807,106033.563 422034.761,106036.065 422034.645,106038.414 422034.536,106038.707 422034.522))
A26147564D8E8222EE0532B0B5B0AACAA|2015-06-25|NL.IMGeo|G0505.7fea986e1f444dc5ad77039be74aa278|-1|2015-11-27T14:06:50.000|0|2015-11-06T09:11:47.000|bestaand|G0505|POLYGON ((106323.892 422912.756,106274.914 422865.194,106275.45 422865.863,106275.672 422866.259,106275.825 422866.615,106275.913 422866.889,106275.945 422866.99,106276.025 422867.363,106276.071 422867.753,106276.076 422868.191,106276.057 422868.445,106276.003 422868.8,106275.929 422869.107,106275.822 422869.435,106275.657 422869.813,106275.467 422870.151,106275.253 422870.459,106275.032 422870.72,106274.762 422870.983,106274.443 422871.231,106274.102 422871.447,106273.742 422871.63,106273.366 422871.778,106272.978 422871.889,106272.581 422871.963,106272.179 422871.999,106271.775 422871.996,106271.373 422871.955,106270.977 422871.876,106270.909 422871.859,106270.556 422871.734,106270.285 422871.612,106270.021 422871.468,106269.771 422871.306,106269.522 422871.117,106269.318 422870.938,106318.312 422918.535,106317.945 422918.103,106317.642 422917.625,106317.409 422917.108,106317.355 422916.922,106317.251 422916.564,106317.171 422916.003,106317.171 422915.436,106317.251 422914.875,106317.409 422914.331,106317.642 422913.815,106317.945 422913.336,106318.137 422913.111,106318.394 422912.833,106318.737 422912.529,106319.21 422912.218,106319.722 422911.975,106320.263 422911.808,106320.823 422911.718,106321.389 422911.707,106321.951 422911.777,106322.189 422911.841,106322.498 422911.924,106323.019 422912.148,106323.503 422912.442,106323.892 422912.756))
A26147564D8E9222EE0532B0B5B0AACAA|2015-05-07|NL.IMGeo|G0505.f79d62d5fc8a4c79bbe98c22b45f5350|-1|2015-11-27T14:06:50.000|0|2015-11-06T09:11:47.000|bestaand|G0505|POLYGON ((105979.543 421861.055,106003.243 421846.692,106000.958 421842.932,105977.102 421857.037,105977.204 421857.199,105979.498 421860.978,105979.543 421861.055))
A26147564D83F222EE0532B0B5B0AACAA|2014-02-10|NL.IMGeo|G0546.f79602f379b4474199b628b716283c2b|-1|2015-09-16T18:24:52.000|0|2015-09-16T06:55:44.000|bestaand|G0546|POLYGON ((91886.866 464422.491,91866.534 464393.305,91866.415 464393.134,91866.066 464392.635,91865.666 464392.914,91863.496 464394.417,91860.62 464396.399,91860.099 464396.758,91859.745 464397.002,91860.105 464397.522,91880.477 464426.936,91880.881 464426.655,91881.422 464426.28,91884.279 464424.292,91886.458 464422.774,91886.866 464422.491))
A26147564D841222EE0532B0B5B0AACAA|2015-09-16|NL.IMGeo|P0030.5aa6831d1e464c16ae1dc71b8fa0197a|-1|2015-09-21T17:18:18.000|0|2015-09-18T14:47:29.000|bestaand|P0030|POLYGON ((125009.087 394702.022,125009.058 394701.831,125009.014 394701.548,125009.001 394701.458,125008.61 394698.884,125008.592 394698.771,125008.563 394698.579,125008.541 394698.433,124991.228 394700.08,124991.24 394700.156,124991.274 394700.391,124991.295 394700.53,124991.694 394703.215,124991.713 394703.344,124991.76 394703.656,124991.778 394703.78,125009.087 394702.022))
A26147564D849222EE0532B0B5B0AACAA|2015-02-17|NL.IMGeo|P0025.1ed4053c736148d1b749fe540b679f1b|-1|2015-09-22T16:59:29.000|0|2015-02-17T09:55:37.000|bestaand|P0025|POLYGON ((238344.175 437802.994,238344.112 437802.696,238343.497 437802.606,238343.248 437802.593,238342.386 437802.547,238339.742 437802.407,238339.342 437802.386,238335.551 437802.185,238331.709 437801.981,238331.279 437801.959,238328.603 437801.817,238328.234 437801.797,238327.661 437801.767,238327.585 437801.767,238327.202 437801.768,238327.102 437801.762,238327.143 437801.963,238328.658 437809.162,238328.655 437809.374,238329.229 437809.449,238329.839 437809.488,238332.821 437809.683,238333.252 437809.711,238337.089 437809.96,238340.9 437810.209,238341.301 437810.235,238344.679 437810.455,238345.075 437810.481,238345.713 437810.531,238345.672 437810.343,238344.175 437802.994))
A26147564D79A222EE0532B0B5B0AACAA|2012-10-19|NL.IMGeo|P0030.00f6f9695233f68ae050120a080440dd|-1|2015-04-21T13:44:12.000|0|2015-04-07T11:16:28.000|bestaand|P0030|POLYGON ((136651.324 391933.601,136638.511 391929.774,136606.466 391918.728,136606.246 391919.37,136604.738 391923.791,136604.547 391924.351,136636.404 391934.702,136636.785 391934.825,136649.562 391938.72,136671.448 391947.144,136671.674 391946.467,136673.056 391942.321,136673.345 391941.455,136651.324 391933.601))
A26147564D79C222EE0532B0B5B0AACAA|2014-11-18|NL.IMGeo|G0518.08d6e6ee5aa7653ae0502a0a313c2ff8|-1|2014-12-19T09:08:19.000|0|2014-11-18T06:57:09.000|bestaand|G0518|POLYGON ((81953.389 458068.455,81741.91 457935.298,81736.479 457943.93,81733.682 457948.375,81728.25 457957.008,81728.379 457957.089,81730.078 457958.158,81731.768 457959.221,81733.462 457960.287,81734.307 457960.819,81736.003 457961.886,81747.853 457969.342,81750.385 457970.936,81752.084 457972.005,81753.774 457973.068,81755.468 457974.134,81756.313 457974.666,81758.009 457975.733,81765.62 457980.522,81768.166 457982.124,81769.855 457983.187,81771.551 457984.254,81773.237 457985.315,81774.09 457985.852,81775.78 457986.915,81783.401 457991.71,81787.626 457994.369,81790.172 457995.971,81791.861 457997.034,81793.557 457998.101,81795.243 457999.162,81796.096 457999.699,81797.786 458000.762,81805.407 458005.557,81809.632 458008.216,81811.331 458009.285,81813.017 458010.346,81813.87 458010.883,81815.56 458011.946,81823.181 458016.741,81827.406 458019.4,81829.105 458020.469,81830.791 458021.53,81831.644 458022.067,81833.334 458023.13,81835.028 458024.196,81835.873 458024.728,81837.569 458025.795,81845.18 458030.584,81849.419 458033.251,81851.108 458034.314,81852.802 458035.38,81853.647 458035.912,81855.343 458036.979,81858.722 458039.105,81859.575 458039.642,81862.954 458041.768,81867.193 458044.435,81868.882 458045.498,81870.576 458046.564,81871.421 458047.096,81873.117 458048.163,81874.803 458049.224,81875.656 458049.761,81877.346 458050.824,81884.967 458055.619,81889.192 458058.278,81890.891 458059.347,81892.577 458060.408,81893.43 458060.945,81895.12 458062.008,81898.507 458064.139,81899.352 458064.671,81902.741 458066.803,81906.966 458069.462,81908.665 458070.531,81911.198 458072.125,81912.897 458073.194,81916.276 458075.32,81917.129 458075.857,81924.74 458080.646,81928.979 458083.313,81930.668 458084.376,81932.362 458085.442,81933.207 458085.974,81934.903 458087.041,81938.282 458089.167,81939.135 458089.704,81939.771 458090.104,81945.202 458081.47,81941.176 458078.937,81939.487 458077.874,81936.944 458076.274,81935.255 458075.211,81931.868 458073.08,81931.02 458072.546,81923.409 458067.757,81919.17 458065.09,81917.481 458064.027,81915.787 458062.961,81914.939 458062.427,81913.249 458061.364,81909.862 458059.233,81909.014 458058.699,81905.628 458056.569,81901.403 458053.91,81899.704 458052.841,81897.171 458051.247,81895.472 458050.178,81892.09 458048.05,81891.24 458047.515,81883.622 458042.722,81881.933 458041.659,81879.39 458040.059,81877.701 458038.996,81875.158 458037.396,81873.469 458036.333,81870.082 458034.202,81869.234 458033.668,81865.855 458031.542,81861.616 458028.875,81859.927 458027.812,81857.384 458026.212,81855.695 458025.149,81852.308 458023.018,81851.46 458022.484,81843.849 458017.695,81842.15 458016.626,81839.61 458015.028,81837.921 458013.965,81835.378 458012.365,81833.689 458011.302,81830.302 458009.171,81829.454 458008.637,81821.836 458003.844,81820.147 458002.781,81817.604 458001.181,81815.915 458000.118,81812.528 457997.987,81811.68 457997.453,81804.069 457992.664,81802.37 457991.595,81799.837 457990.001,81798.138 457988.932,81796.448 457987.869,81794.754 457986.803,81793.906 457986.269,81790.524 457984.141,81789.674 457983.606,81782.063 457978.817,81780.364 457977.748,81777.831 457976.154,81776.132 457975.085,81774.442 457974.022,81772.748 457972.956,81771.9 457972.422,81764.289 457967.633,81762.59 457966.564,81760.057 457964.97,81758.358 457963.901,81756.668 457962.838,81754.974 457961.772,81754.126 457961.238,81742.283 457953.786,81740.584 457952.717,81738.044 457951.119,81736.603 457950.212,81739.399 457945.767,81947.998 458077.025,81953.389 458068.455))
A26147564D79E222EE0532B0B5B0AACAA|2015-02-04|NL.IMGeo|P0030.03ade9d2e02741f48f467c8db3deaa6f|-1|2015-04-21T13:44:12.000|0|2015-02-19T13:05:05.000|bestaand|P0030|POLYGON ((153114.586 407046.652,153114.28 407046.677,153112.392 407046.833,153112.382 407046.834,153110.537 407046.987,153108.786 407047.131,153108.727 407047.136,153107.591 407047.23,153107.278 407047.256,153108.805 407064.379,153109.001 407064.304,153109.861 407064.01,153110.566 407063.812,153111.606 407063.602,153112.734 407063.419,153113.407 407063.322,153114.48 407063.237,153115.227 407063.18,153115.822 407063.155,153114.586 407046.652))
A26147564D7A0222EE0532B0B5B0AACAA|2014-12-16|NL.IMGeo|P0029.0a9b9b66e964458c8e7503394170bcf2|0|2015-07-30T16:54:43.000|0|2015-07-24T09:32:59.000|bestaand|P0029|POLYGON ((54934.269 407563.651,54936.551 407561.085,54938.053 407559.396,54937.828 407559.216,54934.053 407563.373,54933.86 407563.495,54933.666 407563.617,54936.48 407568.032,54936.654 407567.922,54936.887 407567.776,54936.876 407567.697,54942.61 407569.095,54942.617 407569.022,54942.639 407568.806,54941.726 407568.586,54936.644 407567.362,54936.643 407567.356,54934.269 407563.651))
A26147564D7A3222EE0532B0B5B0AACAA|2015-01-13|NL.IMGeo|G0935.f8285d2a0c3741d98161ab1c8ec09e09|-1|2015-02-10T22:33:08.000|0|2015-01-13T16:19:24.000|bestaand|G0935|POLYGON ((177510.619 317588.998,177510.747 317588.961,177514.416 317589.741,177516.643 317590.219,177520.877 317591.155,177525.28 317592.148,177527.93 317592.757,177534.591 317594.611,177534.091 317594.291,177533.551 317593.571,177533.311 317592.851,177533.702 317590.689,177533.89 317589.611,177534.695 317585.906,177534.751 317585.651,177535.48 317582.853,177535.783 317581.689,177536.551 317579.471,177536.951 317578.971,177537.49 317578.75,177473.369 317567.191,177448.275 317562.467,177448.351 317562.551,177448.751 317563.671,177448.531 317564.691,177448.44 317564.846,177447.892 317565.774,177446.471 317567.931,177445.499 317569.195,177443.243 317572.129,177442.451 317573.111,177441.851 317573.411,177441.091 317573.391,177453.167 317576.334,177451.58 317577.475,177449.999 317578.593,177450.032109734 317578.600952811,177450.064576841 317578.611218713,177450.096239947 317578.623746663,177450.126941673 317578.63847439,177450.156529412 317578.655328691,177450.184856094 317578.674225792,177450.211780935 317578.695071757,177450.2371701 317578.717762992,177450.260897391 317578.742186695,177450.282844864 317578.768221483,177450.302903444 317578.795737937,177450.320973419 317578.824599281,177450.33696498 317578.854662076,177450.350798644 317578.885776892,177450.362405635 317578.917789057,177450.371728271 317578.950539485,177450.378720224 317578.983865365,177450.383346722 317579.017601058,177450.385584779 317579.051578879,177450.385423265 317579.085629955,177450.382862993 317579.119585022,177450.377916679 317579.153275311,177450.370608911 317579.186533377,177450.360976018 317579.219193876,177450.34906587 317579.251094505,177450.334937677 317579.282076687,177450.318661652 317579.311986424,177450.3003187 317579.340675063,177450.28 317579.368,177449.68 317579.858,177449.012 317580.457,177448.29 317581.21,177447.385 317582.393,177446.884 317583.223,177446.317 317584.38,177441.941 317598.545,177437.937 317612.137,177440.46 317612.938,177443.225 317603.878,177449.052 317585.124,177449.695 317584.01,177449.934667693 317583.656383593,177450.191067725 317583.314705111,177450.463606477 317582.985755593,177450.751652971 317582.670296594,177451.054540336 317582.369058467,177451.371567333 317582.082738642,177451.702 317581.812,177452.617 317581.196,177453.197 317580.878,177453.437 317580.768,177456.919 317576.902,177461.491 317577.578,177462.165189983 317577.684108519,177462.836596034 317577.806603752,177463.504819907 317577.945413038,177464.169465251 317578.100454047,177464.830137864 317578.27163481,177465.486445868 317578.45885382,177466.138 317578.662,177468.45 317579.403,177468.534 317581.981,177468.503 317582.553,177468.392 317584.611,177470.129 317585.151,177470.469 317584.049,177473.135 317584.864,177477.355 317586.091,177478.306318368 317586.304282181,177479.267856732 317586.46534086,177480.236750469 317586.573696211,177481.210112996 317586.6290254,177482.185044453 317586.63116359,177483.158640313 317586.580104418,177484.128 317586.476,177486.192 317586.124,177486.636844869 317586.036674364,177487.084659218 317585.966140382,177487.534809425 317585.912497878,177487.986658581 317585.875822753,177488.439567372 317585.856166862,177488.892894979 317585.853558062,177489.346 317585.868,177491.354 317586.069,177492.106 317586.195,177497.93 317587.365,177504.462 317588.717,177508.161 317589.477,177508.089 317592.002,177508.249417597 317592.044490279,177508.406568639 317592.097808041,177508.559723236 317592.161705628,177508.708170079 317592.235886276,177508.851219699 317592.320005447,177508.988207728 317592.413672477,177509.118497916 317592.516452327,177509.241485156 317592.627867639,177509.356598228 317592.747400939,177509.463302501 317592.874497086,177509.56110239 317593.008565769,177509.649543673 317593.148984328,177509.72821559 317593.295100585,177509.796752743 317593.446235925,177509.854836829 317593.6016884,177509.902198076 317593.760736003,177509.938616507 317593.922640078,177509.963922993 317594.086648644,177509.978 317594.252,177510.038 317591.476,177510.463 317589.096,177510.467079667 317589.086445187,177510.471793328 317589.077186711,177510.477119587 317589.068266556,177510.483034283 317589.059725225,177510.489510581 317589.05160144,177510.496519089 317589.043932095,177510.504028007 317589.036751971,177510.512003265 317589.03009364,177510.520408682 317589.023987323,177510.529206119 317589.018460736,177510.538355656 317589.013538942,177510.547815777 317589.009244263,177510.557543561 317589.005596206,177510.567494869 317589.002611309,177510.577624552 317589.000303134,177510.587886639 317588.998682141,177510.598234576 317588.997755669,177510.608621402 317588.997527947,177510.619 317588.998))
